"Drug"	"CID"	"ATC"	"miRNA"	"Gene"
"amiodarone"	"CID100002156"	"C01"	"miR-33a"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"let-7e"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-7"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-205"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-30c"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-98"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-424"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-372"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-32"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-363"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"let-7d"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-148a"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-200c"	"ABCB1"
"amiodarone"	"CID100002156"	"C01"	"miR-1"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-335"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-124"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-874"	"KCNQ1"
"amiodarone"	"CID100002156"	"C01"	"miR-320c"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"let-7b"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-15b"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-148b"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-520b"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"let-7a"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-27a"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-212"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-520d-3p"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-133b"	"VKORC1"
"amiodarone"	"CID100002156"	"C01"	"miR-374a"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-219-5p"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"let-7c"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"let-7d"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-30b"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"let-7e"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-15a"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-96"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-25"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"let-7i"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-302b"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"let-7g"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-590-3p"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-9"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-132"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-503"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"let-7g"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-98"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"let-7g"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-92b"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-497"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-19b"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-144"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-98"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-139-5p"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-193b"	"KCNE1"
"amiodarone"	"CID100002156"	"C01"	"miR-374a"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"let-7e"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-140-5p"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-125a-5p"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-448"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-107"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-30e"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-152"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-202"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-374b"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-193a-3p"	"KCNE1"
"amiodarone"	"CID100002156"	"C01"	"let-7c"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"let-7b"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-376b"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-133a"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-374b"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"let-7f"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-150"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-30a"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-200b"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-16"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-302e"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-1271"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-424"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-370"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-124"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-196a"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"let-7f"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-506"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-506"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-24"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-137"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-30b"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-30e"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"let-7i"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"let-7c"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-429"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-19a"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-133b"	"KCNH2"
"amiodarone"	"CID100002156"	"C01"	"miR-133a"	"KCNH2"
"amiodarone"	"CID100002156"	"C01"	"miR-205"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-150"	"AKAP9"
"amiodarone"	"CID100002156"	"C01"	"let-7f"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-18a"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-19a"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-26b"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-103"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"let-7d"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-30d"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-124"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"let-7b"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"let-7a"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-135b"	"SNTA1"
"amiodarone"	"CID100002156"	"C01"	"miR-196b"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-19a"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-497"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-125b"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-16"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-506"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-30c"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"let-7i"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-133a"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-200b"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-302d"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-200c"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-455-5p"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-1"	"KCNE1"
"amiodarone"	"CID100002156"	"C01"	"miR-133b"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-192"	"AKAP9"
"amiodarone"	"CID100002156"	"C01"	"miR-16"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-9"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-300"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-371-5p"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-7"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-365"	"KCNQ1"
"amiodarone"	"CID100002156"	"C01"	"miR-381"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-193b"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-193a-3p"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-133a"	"VKORC1"
"amiodarone"	"CID100002156"	"C01"	"miR-365"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-203"	"KCNE2"
"amiodarone"	"CID100002156"	"C01"	"miR-342-3p"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-490-3p"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-19b"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-377"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-1297"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-129-5p"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"let-7a"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-302a"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-200c"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-429"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-491-5p"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-504"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-376a"	"ANK2"
"amiodarone"	"CID100002156"	"C01"	"miR-15b"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-26a"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-506"	"SNTA1"
"amiodarone"	"CID100002156"	"C01"	"miR-124"	"SNTA1"
"amiodarone"	"CID100002156"	"C01"	"miR-200a"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-101"	"CAV3"
"amiodarone"	"CID100002156"	"C01"	"miR-200b"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-22"	"CAV3"
"amiodarone"	"CID100002156"	"C01"	"miR-155"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-448"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-15a"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-141"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-144"	"CAV3"
"amiodarone"	"CID100002156"	"C01"	"miR-433"	"AKAP9"
"amiodarone"	"CID100002156"	"C01"	"miR-30a"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-421"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-133a"	"KCNQ1"
"amiodarone"	"CID100002156"	"C01"	"miR-302c"	"SCN5A"
"amiodarone"	"CID100002156"	"C01"	"miR-758"	"AKAP9"
"amiodarone"	"CID100002156"	"C01"	"miR-137"	"VKORC1"
"amiodarone"	"CID100002156"	"C01"	"miR-19b"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-141"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-135a"	"SNTA1"
"amiodarone"	"CID100002156"	"C01"	"miR-149"	"KCNJ5"
"amiodarone"	"CID100002156"	"C01"	"miR-455-5p"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-195"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-424"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-125a-5p"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-494"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-544"	"AKAP9"
"amiodarone"	"CID100002156"	"C01"	"miR-18b"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-195"	"SCN4B"
"amiodarone"	"CID100002156"	"C01"	"miR-200a"	"CALU"
"amiodarone"	"CID100002156"	"C01"	"miR-149"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-613"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-153"	"CACNA1C"
"amiodarone"	"CID100002156"	"C01"	"miR-15a"	"KCNJ2"
"amiodarone"	"CID100002156"	"C01"	"miR-125b"	"SCN4B"
"amitriptyline"	"CID100002160"	"N06"	"miR-221"	"ABCB1"
"amitriptyline"	"CID100002160"	"N06"	"miR-451"	"ABCB1"
"amitriptyline"	"CID100002160"	"N06"	"miR-331-5p"	"ABCB1"
"amitriptyline"	"CID100002160"	"N06"	"miR-200c"	"ABCB1"
"amitriptyline"	"CID100002160"	"N06"	"miR-222"	"ABCB1"
"amitriptyline"	"CID100002160"	"N06"	"miR-27a"	"ABCB1"
"amitriptyline"	"CID100002160"	"N06"	"miR-27b"	"CYP3A4"
"amlodipine"	"CID100002162"	"C08"	"miR-155"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-448"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-221"	"ABCB1"
"amlodipine"	"CID100002162"	"C08"	"miR-148a"	"NR1I2"
"amlodipine"	"CID100002162"	"C08"	"miR-133b"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-494"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-377"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-301b"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-451"	"ABCB1"
"amlodipine"	"CID100002162"	"C08"	"miR-27a"	"ABCB1"
"amlodipine"	"CID100002162"	"C08"	"miR-342-3p"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-504"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-133a"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-365"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-758"	"ADD1"
"amlodipine"	"CID100002162"	"C08"	"miR-222"	"ABCB1"
"amlodipine"	"CID100002162"	"C08"	"miR-299-3p"	"ADD1"
"amlodipine"	"CID100002162"	"C08"	"miR-152"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-9"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-506"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-200b"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-27b"	"ADD1"
"amlodipine"	"CID100002162"	"C08"	"miR-421"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-200c"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-33a"	"ADD1"
"amlodipine"	"CID100002162"	"C08"	"miR-33b"	"ADD1"
"amlodipine"	"CID100002162"	"C08"	"miR-429"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-27a"	"ADD1"
"amlodipine"	"CID100002162"	"C08"	"miR-367"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-124"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-27b"	"CYP3A4"
"amlodipine"	"CID100002162"	"C08"	"miR-19a"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-448"	"ADD1"
"amlodipine"	"CID100002162"	"C08"	"miR-363"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-133a"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-1297"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-30e"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-24"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-107"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-19a"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-381"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-149"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-19b"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-153"	"ADD1"
"amlodipine"	"CID100002162"	"C08"	"miR-128"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-320c"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-19b"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-148b"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-96"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-25"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-186"	"ADD1"
"amlodipine"	"CID100002162"	"C08"	"miR-153"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-129-5p"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-200c"	"ABCB1"
"amlodipine"	"CID100002162"	"C08"	"miR-33a"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-455-5p"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-26b"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-148a"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-130a"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-103"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-1271"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-143"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-140-5p"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-331-5p"	"ABCB1"
"amlodipine"	"CID100002162"	"C08"	"miR-301a"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-590-3p"	"ADD1"
"amlodipine"	"CID100002162"	"C08"	"miR-32"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-320d"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-320a"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-33b"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-26a"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-30b"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-92b"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-454"	"CLCN6"
"amlodipine"	"CID100002162"	"C08"	"miR-137"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-92a"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-320b"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-300"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-30c"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-30d"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-30a"	"CACNA1C"
"amlodipine"	"CID100002162"	"C08"	"miR-130b"	"CLCN6"
"amoxicillin"	"CID100002171"	"J01"	"miR-148a"	"NR1I2"
"amoxicillin"	"CID100002171"	"J01"	"miR-27b"	"CYP3A4"
"ampicillin"	"CID100002173"	"J01"	"miR-148a"	"NR1I2"
"ampicillin"	"CID100002173"	"J01"	"miR-27b"	"CYP3A4"
"ampicillin"	"CID100002173"	"S01"	"miR-148a"	"NR1I2"
"ampicillin"	"CID100002173"	"S01"	"miR-27b"	"CYP3A4"
"amprenavir"	"CID100002177"	"J05"	"miR-221"	"ABCB1"
"amprenavir"	"CID100002177"	"J05"	"miR-200c"	"ABCB1"
"amprenavir"	"CID100002177"	"J05"	"miR-222"	"ABCB1"
"amprenavir"	"CID100002177"	"J05"	"miR-451"	"ABCB1"
"amprenavir"	"CID100002177"	"J05"	"miR-27a"	"ABCB1"
"amprenavir"	"CID100002177"	"J05"	"miR-331-5p"	"ABCB1"
"anastrozole"	"CID100002187"	"L02"	"let-7c"	"CYP19A1"
"anastrozole"	"CID100002187"	"L02"	"let-7a"	"CYP19A1"
"anastrozole"	"CID100002187"	"L02"	"miR-539"	"CYP19A1"
"anastrozole"	"CID100002187"	"L02"	"let-7g"	"CYP19A1"
"anastrozole"	"CID100002187"	"L02"	"let-7b"	"CYP19A1"
"anastrozole"	"CID100002187"	"L02"	"let-7e"	"CYP19A1"
"anastrozole"	"CID100002187"	"L02"	"miR-98"	"CYP19A1"
"anastrozole"	"CID100002187"	"L02"	"let-7d"	"CYP19A1"
"anastrozole"	"CID100002187"	"L02"	"let-7f"	"CYP19A1"
"anastrozole"	"CID100002187"	"L02"	"let-7i"	"CYP19A1"
"argatroban"	"CID100002232"	"B01"	"miR-16"	"F2"
"aspirin"	"CID100002244"	"N02"	"miR-422a"	"MAPK1"
"aspirin"	"CID100002244"	"N02"	"miR-377"	"PLCB1"
"aspirin"	"CID100002244"	"N02"	"miR-17"	"MAPK1"
"aspirin"	"CID100002244"	"N02"	"miR-519d"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-27a"	"PPARG"
"aspirin"	"CID100002244"	"N02"	"miR-454"	"PPARG"
"aspirin"	"CID100002244"	"N02"	"miR-16"	"PTGS2"
"aspirin"	"CID100002244"	"N02"	"miR-152"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-20a"	"MAPK1"
"aspirin"	"CID100002244"	"N02"	"miR-27b"	"PPARG"
"aspirin"	"CID100002244"	"N02"	"miR-15a"	"RAF1"
"aspirin"	"CID100002244"	"N02"	"miR-301a"	"PPARG"
"aspirin"	"CID100002244"	"N02"	"miR-103"	"PLCB1"
"aspirin"	"CID100002244"	"N02"	"miR-107"	"PLCB1"
"aspirin"	"CID100002244"	"N02"	"let-7b"	"PTGS2"
"aspirin"	"CID100002244"	"N02"	"miR-130b"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-340"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-106b"	"MAPK1"
"aspirin"	"CID100002244"	"N02"	"miR-106a"	"MAPK1"
"aspirin"	"CID100002244"	"N02"	"miR-130b"	"PPARG"
"aspirin"	"CID100002244"	"N02"	"miR-143"	"PTGS2"
"aspirin"	"CID100002244"	"N02"	"miR-20b"	"PPARG"
"aspirin"	"CID100002244"	"N02"	"miR-101"	"PTGS2"
"aspirin"	"CID100002244"	"N02"	"miR-26b"	"PLCB1"
"aspirin"	"CID100002244"	"N02"	"miR-20b"	"MAPK1"
"aspirin"	"CID100002244"	"N02"	"miR-519d"	"MAPK1"
"aspirin"	"CID100002244"	"N02"	"miR-504"	"PTGS1"
"aspirin"	"CID100002244"	"N02"	"miR-26a"	"PLCB1"
"aspirin"	"CID100002244"	"N02"	"miR-148b"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-429"	"PRKCA"
"aspirin"	"CID100002244"	"N02"	"miR-1297"	"PLCB1"
"aspirin"	"CID100002244"	"N02"	"miR-371-5p"	"UGT1A6"
"aspirin"	"CID100002244"	"N02"	"miR-130a"	"PPARG"
"aspirin"	"CID100002244"	"N02"	"miR-301b"	"PPARG"
"aspirin"	"CID100002244"	"N02"	"miR-27b"	"ITGA2"
"aspirin"	"CID100002244"	"N02"	"miR-144"	"PTGS2"
"aspirin"	"CID100002244"	"N02"	"miR-130a"	"MAPK1"
"aspirin"	"CID100002244"	"N02"	"miR-27b"	"CYP3A4"
"aspirin"	"CID100002244"	"N02"	"miR-410"	"IL4"
"aspirin"	"CID100002244"	"N02"	"miR-129-5p"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-130a"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-218"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-520d-3p"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-422a"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-9"	"PRKCA"
"aspirin"	"CID100002244"	"N02"	"miR-138"	"PPARG"
"aspirin"	"CID100002244"	"N02"	"miR-384"	"PRKCA"
"aspirin"	"CID100002244"	"N02"	"miR-1297"	"PTGS2"
"aspirin"	"CID100002244"	"N02"	"miR-340"	"IL4"
"aspirin"	"CID100002244"	"N02"	"miR-301b"	"MAPK1"
"aspirin"	"CID100002244"	"N02"	"miR-22"	"PTGS1"
"aspirin"	"CID100002244"	"N02"	"miR-93"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-200c"	"PRKCA"
"aspirin"	"CID100002244"	"N02"	"miR-29b"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-506"	"MAPK1"
"aspirin"	"CID100002244"	"N02"	"miR-320d"	"GNAI1"
"aspirin"	"CID100002244"	"N02"	"miR-590-3p"	"PRKCA"
"aspirin"	"CID100002244"	"N02"	"miR-206"	"MAPK1"
"aspirin"	"CID100002244"	"N02"	"miR-320a"	"MAPK1"
"aspirin"	"CID100002244"	"N02"	"miR-26b"	"PTGS2"
"aspirin"	"CID100002244"	"N02"	"miR-137"	"PLCB1"
"aspirin"	"CID100002244"	"N02"	"miR-26a"	"PTGS2"
"aspirin"	"CID100002244"	"N02"	"miR-16"	"RAF1"
"aspirin"	"CID100002244"	"N02"	"miR-203"	"ITGA2"
"aspirin"	"CID100002244"	"N02"	"miR-519d"	"PLCB1"
"aspirin"	"CID100002244"	"N02"	"miR-20a"	"PLCB1"
"aspirin"	"CID100002244"	"N02"	"miR-320a"	"GNAI1"
"aspirin"	"CID100002244"	"N02"	"miR-16"	"MAP2K1"
"aspirin"	"CID100002244"	"N02"	"miR-195"	"MAP2K1"
"aspirin"	"CID100002244"	"N02"	"miR-384"	"F2R"
"aspirin"	"CID100002244"	"N02"	"miR-320c"	"GNAI1"
"aspirin"	"CID100002244"	"N02"	"miR-19a"	"ITGB3"
"aspirin"	"CID100002244"	"N02"	"miR-200b"	"PRKCA"
"aspirin"	"CID100002244"	"N02"	"miR-101"	"MAPK1"
"aspirin"	"CID100002244"	"N02"	"miR-494"	"PLCB1"
"aspirin"	"CID100002244"	"N02"	"miR-183"	"PRKCA"
"aspirin"	"CID100002244"	"N02"	"miR-29c"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-144"	"MED12L"
"aspirin"	"CID100002244"	"N02"	"miR-186"	"GNAI1"
"aspirin"	"CID100002244"	"N02"	"miR-132"	"MAPK3"
"aspirin"	"CID100002244"	"N02"	"miR-206"	"MAPK3"
"aspirin"	"CID100002244"	"N02"	"miR-613"	"MAPK3"
"aspirin"	"CID100002244"	"N02"	"miR-15b"	"MAP2K1"
"aspirin"	"CID100002244"	"N02"	"miR-222"	"ITGB3"
"aspirin"	"CID100002244"	"N02"	"miR-320b"	"GNAI1"
